,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,Ph,Sulphates,Alcohol,Quality
90,7.9 g/L,0.52 g/L,0.26 g/L,1.9 g/L,0.079 g/L,42.0 mg/L SO2,140.0 mg/L SO2,0.9964 g/cm³,pH 3.23,0.54 g/L,9.5% vol,Score: 5
91,8.6 g/L,0.49 g/L,0.28 g/L,1.9 g/L,0.11 g/L,20.0 mg/L SO2,136.0 mg/L SO2,0.9972 g/cm³,pH 2.93,1.95 g/L,9.9% vol,Score: 6
92,8.6 g/L,0.49 g/L,0.29 g/L,2.0 g/L,0.11 g/L,19.0 mg/L SO2,133.0 mg/L SO2,0.9972 g/cm³,pH 2.93,1.98 g/L,9.8% vol,Score: 5
93,7.7 g/L,0.49 g/L,0.26 g/L,1.9 g/L,0.062 g/L,9.0 mg/L SO2,31.0 mg/L SO2,0.9966 g/cm³,pH 3.39,0.64 g/L,9.6% vol,Score: 5
94,5.0 g/L,1.02 g/L,0.04 g/L,1.4 g/L,0.045 g/L,41.0 mg/L SO2,85.0 mg/L SO2,0.9938 g/cm³,pH 3.75,0.48 g/L,10.5% vol,Score: 4
95,4.7 g/L,0.6 g/L,0.17 g/L,2.3 g/L,0.058 g/L,17.0 mg/L SO2,106.0 mg/L SO2,0.9932 g/cm³,pH 3.85,0.6 g/L,12.9% vol,Score: 6
96,6.8 g/L,0.775 g/L,0.0 g/L,3.0 g/L,0.102 g/L,8.0 mg/L SO2,23.0 mg/L SO2,0.9965 g/cm³,pH 3.45,0.56 g/L,10.7% vol,Score: 5
97,7.0 g/L,0.5 g/L,0.25 g/L,2.0 g/L,0.07 g/L,3.0 mg/L SO2,22.0 mg/L SO2,0.9963 g/cm³,pH 3.25,0.63 g/L,9.2% vol,Score: 5
98,7.6 g/L,0.9 g/L,0.06 g/L,2.5 g/L,0.079 g/L,5.0 mg/L SO2,10.0 mg/L SO2,0.9967 g/cm³,pH 3.39,0.56 g/L,9.8% vol,Score: 5
99,8.1 g/L,0.545 g/L,0.18 g/L,1.9 g/L,0.08 g/L,13.0 mg/L SO2,35.0 mg/L SO2,0.9972 g/cm³,pH 3.3,0.59 g/L,9.0% vol,Score: 6
100,8.3 g/L,0.61 g/L,0.3 g/L,2.1 g/L,0.084 g/L,11.0 mg/L SO2,50.0 mg/L SO2,0.9972 g/cm³,pH 3.4,0.61 g/L,10.2% vol,Score: 6
101,7.8 g/L,0.5 g/L,0.3 g/L,1.9 g/L,0.075 g/L,8.0 mg/L SO2,22.0 mg/L SO2,0.9959 g/cm³,pH 3.31,0.56 g/L,10.4% vol,Score: 6
102,8.1 g/L,0.545 g/L,0.18 g/L,1.9 g/L,0.08 g/L,13.0 mg/L SO2,35.0 mg/L SO2,0.9972 g/cm³,pH 3.3,0.59 g/L,9.0% vol,Score: 6
103,8.1 g/L,0.575 g/L,0.22 g/L,2.1 g/L,0.077 g/L,12.0 mg/L SO2,65.0 mg/L SO2,0.9967 g/cm³,pH 3.29,0.51 g/L,9.2% vol,Score: 5
104,7.2 g/L,0.49 g/L,0.24 g/L,2.2 g/L,0.07 g/L,5.0 mg/L SO2,36.0 mg/L SO2,0.996 g/cm³,pH 3.33,0.48 g/L,9.4% vol,Score: 5
105,8.1 g/L,0.575 g/L,0.22 g/L,2.1 g/L,0.077 g/L,12.0 mg/L SO2,65.0 mg/L SO2,0.9967 g/cm³,pH 3.29,0.51 g/L,9.2% vol,Score: 5
106,7.8 g/L,0.41 g/L,0.68 g/L,1.7 g/L,0.467 g/L,18.0 mg/L SO2,69.0 mg/L SO2,0.9973 g/cm³,pH 3.08,1.31 g/L,9.3% vol,Score: 5
107,6.2 g/L,0.63 g/L,0.31 g/L,1.7 g/L,0.088 g/L,15.0 mg/L SO2,64.0 mg/L SO2,0.9969 g/cm³,pH 3.46,0.79 g/L,9.3% vol,Score: 5
108,8.0 g/L,0.33 g/L,0.53 g/L,2.5 g/L,0.091 g/L,18.0 mg/L SO2,80.0 mg/L SO2,0.9976 g/cm³,pH 3.37,0.8 g/L,9.6% vol,Score: 6
109,8.1 g/L,0.785 g/L,0.52 g/L,2.0 g/L,0.122 g/L,37.0 mg/L SO2,153.0 mg/L SO2,0.9969 g/cm³,pH 3.21,0.69 g/L,9.3% vol,Score: 5
110,7.8 g/L,0.56 g/L,0.19 g/L,1.8 g/L,0.104 g/L,12.0 mg/L SO2,47.0 mg/L SO2,0.9964 g/cm³,pH 3.19,0.93 g/L,9.5% vol,Score: 5
111,8.4 g/L,0.62 g/L,0.09 g/L,2.2 g/L,0.084 g/L,11.0 mg/L SO2,108.0 mg/L SO2,0.9964 g/cm³,pH 3.15,0.66 g/L,9.8% vol,Score: 5
112,8.4 g/L,0.6 g/L,0.1 g/L,2.2 g/L,0.085 g/L,14.0 mg/L SO2,111.0 mg/L SO2,0.9964 g/cm³,pH 3.15,0.66 g/L,9.8% vol,Score: 5
113,10.1 g/L,0.31 g/L,0.44 g/L,2.3 g/L,0.08 g/L,22.0 mg/L SO2,46.0 mg/L SO2,0.9988 g/cm³,pH 3.32,0.67 g/L,9.7% vol,Score: 6
114,7.8 g/L,0.56 g/L,0.19 g/L,1.8 g/L,0.104 g/L,12.0 mg/L SO2,47.0 mg/L SO2,0.9964 g/cm³,pH 3.19,0.93 g/L,9.5% vol,Score: 5
115,9.4 g/L,0.4 g/L,0.31 g/L,2.2 g/L,0.09 g/L,13.0 mg/L SO2,62.0 mg/L SO2,0.9966 g/cm³,pH 3.07,0.63 g/L,10.5% vol,Score: 6
116,8.3 g/L,0.54 g/L,0.28 g/L,1.9 g/L,0.077 g/L,11.0 mg/L SO2,40.0 mg/L SO2,0.9978 g/cm³,pH 3.39,0.61 g/L,10.0% vol,Score: 6
117,7.8 g/L,0.56 g/L,0.12 g/L,2.0 g/L,0.082 g/L,7.0 mg/L SO2,28.0 mg/L SO2,0.997 g/cm³,pH 3.37,0.5 g/L,9.4% vol,Score: 6
118,8.8 g/L,0.55 g/L,0.04 g/L,2.2 g/L,0.119 g/L,14.0 mg/L SO2,56.0 mg/L SO2,0.9962 g/cm³,pH 3.21,0.6 g/L,10.9% vol,Score: 6
119,7.0 g/L,0.69 g/L,0.08 g/L,1.8 g/L,0.097 g/L,22.0 mg/L SO2,89.0 mg/L SO2,0.9959 g/cm³,pH 3.34,0.54 g/L,9.2% vol,Score: 6
120,7.3 g/L,1.07 g/L,0.09 g/L,1.7 g/L,0.178 g/L,10.0 mg/L SO2,89.0 mg/L SO2,0.9962 g/cm³,pH 3.3,0.57 g/L,9.0% vol,Score: 5
121,8.8 g/L,0.55 g/L,0.04 g/L,2.2 g/L,0.119 g/L,14.0 mg/L SO2,56.0 mg/L SO2,0.9962 g/cm³,pH 3.21,0.6 g/L,10.9% vol,Score: 6
122,7.3 g/L,0.695 g/L,0.0 g/L,2.5 g/L,0.075 g/L,3.0 mg/L SO2,13.0 mg/L SO2,0.998 g/cm³,pH 3.49,0.52 g/L,9.2% vol,Score: 5
123,8.0 g/L,0.71 g/L,0.0 g/L,2.6 g/L,0.08 g/L,11.0 mg/L SO2,34.0 mg/L SO2,0.9976 g/cm³,pH 3.44,0.53 g/L,9.5% vol,Score: 5
124,7.8 g/L,0.5 g/L,0.17 g/L,1.6 g/L,0.082 g/L,21.0 mg/L SO2,102.0 mg/L SO2,0.996 g/cm³,pH 3.39,0.48 g/L,9.5% vol,Score: 5
125,9.0 g/L,0.62 g/L,0.04 g/L,1.9 g/L,0.146 g/L,27.0 mg/L SO2,90.0 mg/L SO2,0.9984 g/cm³,pH 3.16,0.7 g/L,9.4% vol,Score: 5
126,8.2 g/L,1.33 g/L,0.0 g/L,1.7 g/L,0.081 g/L,3.0 mg/L SO2,12.0 mg/L SO2,0.9964 g/cm³,pH 3.53,0.49 g/L,10.9% vol,Score: 5
127,8.1 g/L,1.33 g/L,0.0 g/L,1.8 g/L,0.082 g/L,3.0 mg/L SO2,12.0 mg/L SO2,0.9964 g/cm³,pH 3.54,0.48 g/L,10.9% vol,Score: 5
128,8.0 g/L,0.59 g/L,0.16 g/L,1.8 g/L,0.065 g/L,3.0 mg/L SO2,16.0 mg/L SO2,0.9962 g/cm³,pH 3.42,0.92 g/L,10.5% vol,Score: 7
129,6.1 g/L,0.38 g/L,0.15 g/L,1.8 g/L,0.072 g/L,6.0 mg/L SO2,19.0 mg/L SO2,0.9955 g/cm³,pH 3.42,0.57 g/L,9.4% vol,Score: 5
130,8.0 g/L,0.745 g/L,0.56 g/L,2.0 g/L,0.118 g/L,30.0 mg/L SO2,134.0 mg/L SO2,0.9968 g/cm³,pH 3.24,0.66 g/L,9.4% vol,Score: 5
